title,year,type_raw,ris_type,doi,url,keywords,abstract,source_file,sheet,doi_key,title_key,fa_key,year_key,dedup_key,score,authors_joined
Solutions for sustainable fashion and textile industry,2020.0,Article,JOUR,10.1002/9781119620532.ch3,https://doi.org/10.1002/9781119620532.ch3,Textile waste AND textile recycling AND circular fashion AND Africa,"Sustainable fashion practices are pro-environment and contribute to reduction in the environmental impact associated with its production, usage, and disposal compared with other conventional practices and products. Sustainable fashion industry offers products with high potential for saving energy, natural, and non-renewable resources. Eco-fashion characteristics are determined by renewability of the raw materials, ecological footprints of the resources, and amount of chemicals required to process textiles. Eco-fashion textiles meet the environmental and quality criteria with suitability for recycling and biodegradability of the material and thus reduce the amount of chemicals dumped into the eco-system. This chapter deals with the growing needs and ever emerging current eco-friendly solutions for fashion and textile industries. The outline of this chapter contains sustainable fashion and textile industry and green solutions including eco-innovation, eco-selection, effluent treatment, eco-labelling, utilization of textile wastes, reuse and prevalent recycling practices. International regulations governing recycling laws are also described.",Textile Waste,DATA,10.1002/9781119620532.ch3,solutions for sustainable fashion and textile industry,r,2020,10.1002/9781119620532.ch3,14,R Pandey; P Pandit; S Pandey
Contextualizing Electronic Waste for Effective Management in Ghanaian Cities: Local Perspectives and Experiences,2023.0,Review,JOUR,10.1002/9781119891543.ch2,https://doi.org/10.1002/9781119891543.ch2,"""WEEE"" (Waste Electrical and Electronic Equipment) AND ""urban mining"" AND ""metals recovery"" AND (Africa OR any African country OR region);","Global literature on e-waste indicates a highly contentious phenomenon with considerable definitional differences. This is partly due to the lack of consistency on how such waste is conceptualized. Yet, in several recipient countries of the global south, particularly Ghana, this phenomenon is blurred. Using Accra and Kumasi––Ghana's two rapidly growing cities with intense e-waste activities––as case studies, the purpose of this paper is to: (i) examine local agency officials' and e-waste workers' understanding and interpretation of e-waste, its impact and composition; and (ii) explore the influence of knowledge of e-waste on management practices from the perspectives of agencies and e-waste recyclers. Using review of relevant documents and interviews with six (e-)waste-related agencies and local e-waste workers, findings indicate little semblance of definitional consensus among respondents in terms of whether e-waste should comprise only electronic or electrical products or both and at which point they become “waste.” Generally, the paper reveals that e-waste is not of much priority to city officials of Kumasi, compared to Accra, largely because it is an emerging sector. Findings further indicate that the e-waste enterprise has both positive and adverse implications. The paper concludes that a better understanding of e-waste, its composition and impact, is critical toward promoting effective management in this era of complex changing lifestyles and increasing e-waste volumes",Electronic Waste,DATA,10.1002/9781119891543.ch2,contextualizing electronic waste for effective management in ghanaian cities local perspectives and experiences,mo,2023,10.1002/9781119891543.ch2,12,MO Asibey
Overview of Textile Recycling (Solid Waste),2025.0,Article,JOUR,10.1002/9781394175017.ch3,https://doi.org/10.1002/9781394175017.ch3,Textile waste AND textile recycling AND circular fashion AND Africa,"Globally, apparel consumption has increased 400% since the past two decades by introducing at least one new “collection” each week. With growing frequency and quantity of garment purchases, the amount of clothes being discarded is increasing. Three different types of solid textile waste are produced by the apparel industries: production waste, pre-consumer waste, and post-consumer waste. These wastes are dumped as landfills at an astonishing rate of one garbage truck every second, which poses a serious risk to the environment. Around 75% of solid textile waste is landfilled, whereas only 25% is reused or recycled. The existing clothing system operates in a linear approach mostly in terms of production, distribution and usage, which misses out on a lot of economic opportunities, pollutes the environment, exerts pressure on insufficient resources, and has an impact on the economics of societies. To address these concerns, the urgent need for transition from linear to circular economy is necessary, which is highly influenced by six major conventional waste management approaches (6 R's): reduce, reuse, recycle, refuse, rethink, and repair. A circular system would promote the development and adoption of innovative recycling techniques, which could lead to the growth of high-tech enterprises. Governments and relevant institutions are appealing to various stakeholders to transform the textile industry toward a circular economy. The majority of the waste produced and recycled by the apparel industry comprises cotton followed by cotton/polyester blend, polyester and other waste like viscose, rayon, and nylon. The approach toward recycling techniques is classified into four different categories named as primary, secondary or mechanical, tertiary or chemical/biochemical, and quaternary recycling or thermal recovery. Apart from the benefits and drawbacks of these recycling techniques, several nations have started recycling strategies throughout the world.",Textile Waste,DATA,10.1002/9781394175017.ch3,overview of textile recycling solid waste,d,2025,10.1002/9781394175017.ch3,14,D Maity; A Borkar; S Ghosh
Plastic Pollution Management—Innovative Solutions for Plastic Waste,2025.0,Article,JOUR,10.1002/9781394251100.ch14,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781394251100.ch14,Single-use plastics AND plastic alternatives AND climate impact of plastics AND Africa,"In recent times, plastic pollution had an adverse impact on the environment due to a high level of fragmentation. Consequently, as plastic waste gets accumulated in various water bodies, there is a need for sustainable and efficient mitigation techniques. The generation of plastic pollution is due to the unsustainable consumption and disposal of plastic products, which further threatens the environment, economy, as well as human health. This book chapter will discuss the possible solutions to reduce the use of single‐use plastics, increase the use of biodegradable plastics, and impose a plastic tax to minimize plastic usage and plastic pollution. Typically, mismanaged waste emerges as one of the major sources of plastic pollution which can be further minimized through enhancements in the life cycle of plastics, especially during production, consumption, and disposal. The book chapter will also discuss the recent practices to manage waste plastics and minimize plastic pollution. Thus, a comprehensive approach is highly required which combines with technology advocacy and policy making to eradicate the issue of plastic pollution.",Plastic Waste,DATA,10.1002/9781394251100.ch14,plastic pollution management innovative solutions for plastic waste,ss,2025,10.1002/9781394251100.ch14,14,SS Ray; R Singh; M Ganesapillai...
"Rural African renewable fuels and fridges: cassava waste for bioethanol, with stillage mixed with manure for biogas digestion for application with dual-fuel absorption refrigeration",2014.0,Review,JOUR,10.1002/bbb.1433,https://doi.org/10.1002/bbb.1433,Agricultural waste AND biogas AND GHG emissionsAND Africa,"The growth and processing of cassava (Manihot esculenta) in Africa produces a range of waste streams which are proving problematic due to their current mismanagement. Although a range of technical solutions exists to convert these waste streams into valuable products, there has been very little progress made in applying these solutions. This review provides a broad picture of the cassava waste issue in the context of African agriculture and bioprocessing. As an outcome of the review process the authors propose a simple and scalable two-step process that biologically converts the waste streams into valuable products. The first step in the process is fermentation and distillation of the cassava waste to produce ethanol. The second step is the anaerobic digestion of the fermentation byproducts with other waste streams, including animal manure and human excrement, to produce biogas and biological fertilizers. Despite the scalability of this system, the focus of this review is the development of a conceptual system for rural smallholders to achieve multiple beneficial outcomes includingtreatment of multiple troublesome waste streams, production of a liquid biofuel, the provision of refrigeration through biogas powered absorption chillers, and the co-production of organic fertilizers. (c) 2013 Society of Chemical Industry and John Wiley & Sons, Ltd",Agrifood Systems,Articles,10.1002/bbb.1433,rural african renewable fuels and fridges cassava waste for bioethanol with stillage mixed with manure for biogas digestion for application with dual fuel absorption refrigeration,mchenry,2014,10.1002/bbb.1433,14,"McHenry, MP; Doepel, D; de Boer, K"
Toward a sustainable bioeconomy in West Africa: A focus on biorefining,2017.0,Article,JOUR,10.1002/bbb.1793,https://doi.org/10.1002/bbb.1793,Agricultural waste AND biogas AND GHG emissions AND Africa,"Considering its size and expanding population, Africa needs to play a more active role in preventing global warming. The economy of most West African countries is driven by agriculture and the export of processed wood resulting in the generation of tons of wood and agricultural waste. The waste is usually disposed of by burning, which releases harmful greenhouse gases (GHGs) into the environment. Wood and agricultural wastes are valuable biomass feedstocks for second-generation biofuels and chemicals. The availability of diverse feedstocks makes the West African sub-region suitable for setting up biorefineries. However, the limiting factors for establishing biorefineries such as appropriate technology, infrastructure and forward-looking policies have to be addressed. The currently high cost of biofuel production and competitive crude oil prices also make it seem unfeasible for West African countries and other developing economies to invest in this industry. Therefore, we present an idea for developing a multipurpose modular biorefinery model to meet the energy needs of the region with an added advantage of creating new markets and jobs. We also discuss what new energy policies should be focused on in order to fast-track the development of the bioenergy sector. (c) 2017 Society of Chemical Industry and John Wiley & Sons, Ltd.",Agrifood Systems,Articles,10.1002/bbb.1793,toward a sustainable bioeconomy in west africa a focus on biorefining,fletcher,2017,10.1002/bbb.1793,14,"Fletcher, E; Adeboye, PT; Duedu, KO"
A parametric experimental validation of a biorefinery concept based on anaerobic digestion of fruit and vegetable waste,2022.0,Article,JOUR,10.1002/bbb.2341,https://doi.org/10.1002/bbb.2341,circular economy policy OR circular economy roadmap OR circular economy strategy AND Africa,"The goal of this paper was to assess the possibilities for one-stage reactor anaerobic digestion processing of fruit and vegetable biomass within a biorefinery concept for optimum products. Co-digestion was the simplest strategy to implement to increase product yield among the variables tested (pH, ultrasonification, and co-digestion). Methane yields from co-digestion of fruit and vegetable waste (FVW) and pig manure (PM) ranged from 318 to 434 NmL /g VS, with the highest yield (434 NmL /g VS) achieved at a co-digestion ratio of FVW75:PM25, representing a 20% increase over the methane production from FVW alone. The pH value was determined to be the most effective variable for enhancing methane production, with pH = 8 producing the maximum cumulative methane yield of 497 NmL/g VS. There was no significant change in the composition of volatile fatty acids (VFA) with pH in terms of dominant product type; valeric acid was the predominant VFA synthesized at all starting pH values except pH = 12, where formic acid was the predominant acid formed. As a digestate post-treatment procedure, hydrothermal carbonization was combined with anaerobic digestion. At 200°C, the maximum hydrochar yield production was 58.2%, with a higher heating value of 10.75 MJ/kg.",Agrifood Systems,Articles,10.1002/bbb.2341,a parametric experimental validation of a biorefinery concept based on anaerobic digestion of fruit and vegetable waste,p,2022,10.1002/bbb.2341,14,P Magama; I Chiyanzu; J Mulopo
Potential of sugarcane bagasse as feedstock for biogas production in Nigeria,2025.0,Article; Early Access,JOUR,10.1002/bbb.2811,https://doi.org/10.1002/bbb.2811,Agricultural waste AND biogas AND GHG emissions AND Africa,"The Nigerian government's interest in expanding the sugar sector has significantly increased sugarcane production, generating substantial bagasse by-products without adequate waste management strategies. This study examined the potential of sugarcane bagasse as a biogas feedstock by integrating a socioeconomic survey of 120 sugarcane farmers in Oyo State, Nigeria, and laboratory anaerobic digestion experiments. The survey revealed that 74.2% of farmers expressed willingness to adopt biogas technology, significantly influenced by educational level (odds ratio (OR) = 7.08), perception (OR = 12.72) and farming experience (OR = 1.12), whereas age had a negative effect (OR = 0.94). In laboratory experiments, anaerobic digestion of bagasse alone yielded a maximum methane content of 53.7%, while co-digestion with cow manure reached 53.8%, although statistical analysis indicated no significant difference (P = 0.841) in cumulative biogas production between these treatments. These findings highlight the necessity for targeted policy interventions, including farmer education and youth engagement, to enhance biogas technology adoption and efficient utilization of sugarcane bagasse, contributing toward sustainable energy generation and improved waste management in Nigeria.",Agrifood Systems,Articles,10.1002/bbb.2811,potential of sugarcane bagasse as feedstock for biogas production in nigeria,shobajo,2025,10.1002/bbb.2811,14,"Shobajo, A; Chubur, V; Roubik, H"
Ultimate producer responsibility for e-waste management-A proposal for just transition in the circular economy based on the case of used European electronic equipment exported to Nigeria,2023.0,Article,JOUR,10.1002/bsd2.222,https://doi.org/10.1002/bsd2.222,"""WEEE"" (Waste Electrical and Electronic Equipment) AND ""urban mining"" AND ""metals recovery"" AND (Africa OR any African country OR region);","Used European electric and electronic equipment (UEEE) has multiple use cycles in various countries, including Nigeria. Although the EU-Nigeria e-waste trade is illegal under EU and Nigerian law, previous research shows that some imported equipment is only fit for disposal. Imported UEEE has a short lifespan. Such European e-waste exports imported to Nigeria have sustainability and circularity implications for both places and raise questions about justice and equity. Using a transdisciplinary approach, we identify existing practices and challenges in Nigeria and co-create actionable solutions towards a sustainable, circular and fairness-driven UEEE and e-waste value chain. We find current extended producer responsibility (EPR) does not focus on the entire global value chain, is linear, and lacks transparency, accountability, and consideration for spatial equity. To overcome these shortcomings, we propose ultimate producer responsibility (UPR). UPR aids sustainability and circularity transition while paying attention to justice and equity. The research adds global and social dimensions to the European circular economy (CE), otherwise primarily focused on national material cycles.",Electronic Waste,DATA,10.1002/bsd2.222,ultimate producer responsibility for e waste management a proposal for just transition in the circular economy based on the case of used european electronic equipment exported to nigeria,k,2023,10.1002/bsd2.222,13,"K Thapa, WJV Vermeulen; P Deutz, O Olayide"
Removing barriers to plastic waste valorisation in Africa: Towards policies for value creation and capture in business ecosystems,2023.0,Article,JOUR,10.1002/bsd2.318,https://doi.org/10.1002/bsd2.318,“Plastic pollution” AND “Plastic Packaging waste” AND “waste to value” AND “Africa”,"Stimulating plastic waste valorisation is suggested as an important way to address the growing waste problem in low-income countries. However, policy interventions have not led to substantial waste valorisation, and the reasons for this have not been thoroughly analysed. We address this through a qualitative study of plastic waste in urban Zambia, which is representative of the policy and practice challenges in African plastic waste management. Using extensive data gathered through interviews, site visits and stakeholder meetings, we first conduct a business ecosystem analysis which provides a holistic view on value creation, capture, and destruction processes across all actors involved in the plastics lifecycle. Next, we map the barriers to value creation and capture by the system's main actors. Aggregation of these barriers reveals a low-value trap, in which individual actors are disincentivized to increase waste valorisation activities. Finally, we analyse the reasons why policies aimed at waste valorisation have failed to break through this status quo. We find that policies have insufficiently addressed the barriers that keep the low-value trap in place. Hence, they have not acted effectively on the root causes of systemic stagnation. By combining a business ecosystems analysis with an identification of barriers facing the individual actors in that ecosystem, our study is able to show why substantial plastic waste valorisation has not emerged despite policy incentives. Our analysis points toward concrete policy actions aimed at value redistribution and value increase, as key leverage points in the system to increase valorisation.",Plastic Waste,DATA,10.1002/bsd2.318,removing barriers to plastic waste valorisation in africa towards policies for value creation and capture in business ecosystems,milou,2023,10.1002/bsd2.318,13,Milou Derks1; 2 | Henny Romijn2
